"Gene_id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Ifit1"	483.705232538947	-1.25746267869036	0.252493079816574	-4.98018670295382	6.35229604681088e-07	0.0119448574864232
"Rsad2"	767.215017354559	-1.09192869893741	0.230820907660273	-4.73063168326386	2.2382228402153e-06	0.0210437711437043
"Ifit2"	438.106731043644	-1.21370724033339	0.266213138324554	-4.55915605056914	5.13595981571107e-06	0.032192196124877
"Ifit3"	264.406963061678	-1.04384521886549	0.251070332764418	-4.15758089525034	3.21635397056433e-05	0.151200800156229
"Mx2"	146.089945849769	-0.977754471591172	0.265339808824255	-3.6849143591521	0.000228779553126059	0.860394143396485
"0610005C13Rik"	1.46636702854028	0.0787683202858378	0.0925055883025955	0.851497966027505	0.394492792705689	0.999826482294629
"0610007P14Rik"	46.6938867000006	0.268221609413539	0.284584668099244	0.942501966831189	0.345935704628462	0.999826482294629
"0610009B22Rik"	43.8385835152078	0.0125660143903275	0.284476363791085	0.0441724374667409	0.964766952316632	0.999826482294629
"0610009E02Rik"	1.39311360194027	-0.0987426535414187	0.10095068436197	-0.978127629005125	0.328011204449211	0.999826482294629
"0610009L18Rik"	2.64282203756041	0.0379423378349508	0.144121132879366	0.263266996844313	0.792344795363947	0.999826482294629
"0610009O20Rik"	23.1722879854378	-0.0951069445975195	0.273539364921839	-0.347690156496106	0.728072889967726	0.999826482294629
"0610010B08Rik"	19.6347899958138	-0.216957065483232	0.260040514492197	-0.834320243931612	0.404100547136315	0.999826482294629
"0610010F05Rik"	94.8112492995451	-0.272893702203287	0.284600365862939	-0.958866308466764	0.337626099532226	0.999826482294629
"0610010K14Rik"	22.6339897163468	-0.0771074372166989	0.272319054140029	-0.283151090768145	0.77706101859294	0.999826482294629
"0610011F06Rik"	7.60804991961629	-0.0315405770020977	0.206063460136329	-0.153062444846995	0.878349031509244	0.999826482294629
"0610012G03Rik"	37.5630666397589	0.0259394609731375	0.282716941102073	0.0917506424341659	0.926896160201824	0.999826482294629
"0610030E20Rik"	75.3249297836787	0.266480654592482	0.282392855861638	0.943652252743419	0.34534738097146	0.999826482294629
"0610037L13Rik"	26.55385781731	0.143743169316702	0.272889094252002	0.526745745229237	0.598370163867293	0.999826482294629
"0610038B21Rik"	1.87008357262248	-0.00229630770079024	0.109293877772135	-0.0210103964430449	0.983237362344892	0.999826482294629
"0610040B10Rik"	1.42444297453696	-0.0817363134022392	0.0925041603300516	-0.883596079469365	0.376914296182016	0.999826482294629
"0610043K17Rik"	1.70377419096311	0.072449572738463	0.105068446991034	0.689546432000138	0.490479464252456	0.999826482294629
"1110001J03Rik"	18.2436333348425	-0.0724612454120947	0.264334190522129	-0.274127403908532	0.783986714896162	0.999826482294629
"1110002J07Rik"	19.4005780100971	-0.153601586303805	0.265707940868004	-0.578084289848565	0.563207213065205	0.999826482294629
"1110002L01Rik"	17.008938240441	-0.0430633242840881	0.251969177315002	-0.170907111508532	0.864296804763162	0.999826482294629
"1110004E09Rik"	16.8828886363685	-0.0223445841359848	0.249579448139015	-0.0895289427979622	0.928661552908314	0.999826482294629
"1110004F10Rik"	233.883789424743	0.044607704957742	0.252130878633075	0.176922815640758	0.859569017031368	0.999826482294629
"1110006O24Rik"	0.488789009513427	0.0322684096439789	0.0645936822160761	0.499559841410433	0.617385040704289	0.999826482294629
"1110008F13Rik"	242.445384029086	-0.0335173054042599	0.252288253324706	-0.132853214379037	0.894309468330641	0.999826482294629
"1110008L16Rik"	24.5706463205607	-0.240806133587686	0.272553720416421	-0.883518057356803	0.376956430576641	0.999826482294629
"1110008P14Rik"	39.8609308748052	0.0567508743498111	0.282514787637273	0.200877535736907	0.840794333555072	0.999826482294629
"1110012L19Rik"	12.4605763880832	-0.0353483219282007	0.244336972167712	-0.144670377203241	0.88497112862963	0.999826482294629
"1110017D15Rik"	1.19741703602179	0.0405864512371735	0.0998948501232874	0.406291727622423	0.684528262891018	0.999826482294629
"1110018N20Rik"	0.184090984586234	0.0130684441485157	0.0640235358434238	0.204119375419626	0.838260213680776	0.999826482294629
"1110019D14Rik"	10.9929850021183	0.104641439233091	0.236403741257473	0.442638676852086	0.658027104663261	0.999826482294629
"1110020A21Rik"	1.43841765920474	-0.0306712131173201	0.0985041043618695	-0.311369899924625	0.75551943373915	0.999826482294629
"1110028F11Rik"	0.368181969172468	0.0275523779992562	0.064252413758041	0.428814676177175	0.668058097553095	0.999826482294629
"1110032A03Rik"	15.7781145187208	-0.224263944380904	0.256051970225091	-0.875853226920135	0.381109829719576	0.999826482294629
"1110034G24Rik"	8.60093307009558	0.189269254529056	0.221228695658409	0.855536638073842	0.392254130390151	0.999826482294629
"1110037F02Rik"	180.200339988263	0.191100595767096	0.259465607007202	0.736516095413721	0.461416676009561	0.999826482294629
"1110038B12Rik"	23.1225643940425	-0.0254078171081347	0.266296120627254	-0.0954118935277286	0.92398766950804	0.999826482294629
"1110038F14Rik"	30.5744744470456	-0.111332404565806	0.276783711149841	-0.40223611463008	0.687510266005326	0.999826482294629
"1110046J04Rik"	0.918299277094616	-0.0652621851160761	0.0829027846297596	-0.787213426033085	0.431156939045501	0.999826482294629
"1110051M20Rik"	12.1670709078029	-0.12118054464036	0.239751037810326	-0.505443253748202	0.613247545466374	0.999826482294629
"1110059E24Rik"	38.3159453143495	-0.0405414378674416	0.283467144017041	-0.143019883337888	0.886274477988302	0.999826482294629
"1110059G10Rik"	33.6591154118011	-0.112976309897778	0.282256152948708	-0.400261637231016	0.68896382050548	0.999826482294629
