1_Tps_b3v08 
Roseicitreum antarcticum
Roseithermus sacchariphilus
Ruminococcoides bili
Ruminococcus callidus
Runella rosea
Runella sp.
Salinicoccus sp.
Salinivibrio socompensis
Sarcopeltis skottsbergii
Serratia marcescens
Shewanella putrefaciens
Skeletonema potamos
Sneathia amnii
Spiroplasma chinense
Spiroplasma corruscae
Spiroplasma gladiatoris
Spiroplasma sp.
Spiroplasma tabanidicola
Spirosoma radiotolerans
Spirosoma taeanense
Spyridia filamentosa
Staphylococcus xylosus
Streptacidiphilus sp.
Streptomyces antibioticus
Streptomyces carpaticus
Streptomyces cavourensis
Streptomyces chartreusis
Streptomyces coelicoflavus
Streptomyces globosus
Streptomyces griseoincarnatus
Streptomyces hawaiiensis
Streptomyces lonarensis
Streptomyces malachitospinus
Streptomyces nashvillensis
Streptomyces nigra
Streptomyces olivaceus
Streptomyces pilosus
Streptomyces pluripotens
Streptomyces pratensis
Streptomyces roseolus
Streptomyces tunisiensis
Streptomyces yanglinensis
Sutterella massiliensis
Sutterella megalosphaeroides
Sutterella wadsworthensis
Synechocystis sp.
TPA_asm: Myoviridae
Tautonia plasticadhaerens
Tenacibaculum jejuense
Tenacibaculum singaporense
Tepidanaerobacter acetatoxydans
Terrisporobacter sp.
Tessaracoccus lapidicaptus
Tessaracoccus sp.
Thalassiosira pseudonana
Thermoanaerobacter brockii
Thermoanaerobacter ethanolicus
Thermoanaerobacter pseudethanolicus
Thermoanaerobacterium aotearoense
Thermoanaerobacterium sp.
Thermoanaerobacterium thermosaccharolyticum
Thermoanaerobacterium xylanolyticum
Thermodesulfobacterium commune
Thermodesulfobacterium sp.
Thermodesulfobium acidiphilum
Thermotoga caldifontis
Thiospirochaeta perfilievii
Treponema rectale
Turicimonas muris
Variibacter gotjawalensis
Veillonella atypica
Veillonella dispar
Veillonella nakazawae
Veillonella sp.
Verrucomicrobia bacterium
Verrucomicrobiaceae bacterium
Waddlia sp.
Weissella viridescens
Yamadaella caenomyce
complete chromosome
Acetivibrio clariflavus
Acetivibrio saccincola
Acetobacterium woodii
Acidithiomicrobium sp.
Acidothermus cellulolyticus
Albugo laibachii
Alcanivorax sp.
Algoriphagus sp.
Alicyclobacillus hesperidum
Alistipes communis
Alistipes dispar
Alistipes finegoldii
Alistipes senegalensis
Alistipes shahii
Alistipes sp.
Alkaliphilus oremlandii
Altibacter sp.
Anaerococcus obesiensis
Anaerococcus vaginalis
Anaerofilum sp.
Anaeromassilibacillus sp.
Arcticibacterium luteifluviistationis
Atribacter laminatus
Bacillus pseudofirmus
Bacteroides heparinolyticus
Bacteroides pyogenes
Bacteroides zoogleoformans
Bacteroidetes bacterium
Barnesiella intestinihominis
Bifidobacterium catenulatum
Bifidobacterium kashiwanohense
Bremia lactucae
Brevundimonas aurantiaca
Brevundimonas denitrificans
Brevundimonas mediterranea
Candidatus Ehrlichia
Candidatus Fluviicola
Candidatus Fritschea
Candidatus Kinetoplastibacterium
Candidatus Protochlamydia
Catenibacterium sp.
Caulobacter segnis
Cellulomonas sp.
